stage=pretrain mode=tied params=4.34M device=cuda:0 world=2 per_gpu_batch=256 effective_batch=512
epoch=194/400 train_loss=0.0044 val_loss=1.5680 val_acc1=63.532 best=63.582 lr=5.322e-04 sec=1884.3
epoch=195/400 train_loss=0.0044 val_loss=1.5554 val_acc1=63.278 best=63.582 lr=5.283e-04 sec=1888.5
epoch=196/400 train_loss=0.0044 val_loss=1.5349 val_acc1=63.644 best=63.644 lr=5.244e-04 sec=1882.6
epoch=197/400 train_loss=0.0044 val_loss=1.5359 val_acc1=63.364 best=63.644 lr=5.205e-04 sec=1885.5
epoch=198/400 train_loss=0.0044 val_loss=1.5374 val_acc1=63.694 best=63.694 lr=5.167e-04 sec=1881.5
epoch=199/400 train_loss=0.0044 val_loss=1.5464 val_acc1=63.876 best=63.876 lr=5.128e-04 sec=1878.6
epoch=200/400 train_loss=0.0044 val_loss=1.5441 val_acc1=63.718 best=63.876 lr=5.089e-04 sec=1879.2
epoch=201/400 train_loss=0.0044 val_loss=1.5227 val_acc1=63.566 best=63.876 lr=5.050e-04 sec=1879.5
epoch=202/400 train_loss=0.0044 val_loss=1.5395 val_acc1=63.460 best=63.876 lr=5.011e-04 sec=1880.7
epoch=203/400 train_loss=0.0044 val_loss=1.5200 val_acc1=63.978 best=63.978 lr=4.972e-04 sec=1878.3
epoch=204/400 train_loss=0.0044 val_loss=1.5338 val_acc1=63.812 best=63.978 lr=4.933e-04 sec=1877.3
epoch=205/400 train_loss=0.0043 val_loss=1.5309 val_acc1=63.680 best=63.978 lr=4.895e-04 sec=1881.2
epoch=206/400 train_loss=0.0043 val_loss=1.5003 val_acc1=64.476 best=64.476 lr=4.856e-04 sec=1880.8
epoch=207/400 train_loss=0.0043 val_loss=1.5150 val_acc1=64.120 best=64.476 lr=4.817e-04 sec=1881.5
epoch=208/400 train_loss=0.0044 val_loss=1.5275 val_acc1=63.770 best=64.476 lr=4.778e-04 sec=1885.0
epoch=209/400 train_loss=0.0044 val_loss=1.4985 val_acc1=64.388 best=64.476 lr=4.739e-04 sec=1892.1
epoch=210/400 train_loss=0.0043 val_loss=1.4928 val_acc1=64.458 best=64.476 lr=4.700e-04 sec=1886.3
epoch=211/400 train_loss=0.0043 val_loss=1.5072 val_acc1=64.388 best=64.476 lr=4.662e-04 sec=1881.1
epoch=212/400 train_loss=0.0043 val_loss=1.4938 val_acc1=64.656 best=64.656 lr=4.623e-04 sec=1884.5
epoch=213/400 train_loss=0.0043 val_loss=1.5101 val_acc1=64.350 best=64.656 lr=4.584e-04 sec=1881.7
epoch=214/400 train_loss=0.0043 val_loss=1.5152 val_acc1=64.280 best=64.656 lr=4.545e-04 sec=1886.4
epoch=215/400 train_loss=0.0043 val_loss=1.4965 val_acc1=64.566 best=64.656 lr=4.507e-04 sec=1880.1
epoch=216/400 train_loss=0.0043 val_loss=1.5012 val_acc1=64.736 best=64.736 lr=4.468e-04 sec=1880.4
epoch=217/400 train_loss=0.0043 val_loss=1.4964 val_acc1=64.748 best=64.748 lr=4.430e-04 sec=1878.0
